,DAUDI,EHEB,JK-6,LB5871-LYMP,MEC-1,OCI-LY1,RI-1,WSU-DLCL,WSU-NHL
2-D1-L1-HC,7884.0,2428.0,17831.0,367.0,7728.0,906.0,2958.0,935.0,218.0
2-D1-L2-HC,8530.0,2705.0,19475.0,386.0,8633.0,965.0,3320.0,1021.0,226.0
2-D1-L3-HC,8567.0,2800.0,20308.0,381.0,8906.0,951.0,3283.0,966.0,227.0
2-D2-L1-HC,930.0,329.0,2338.0,35.0,943.0,90.0,340.0,113.0,23.0
2-D2-L2-HC,999.0,399.0,2822.0,38.0,1128.0,102.0,432.0,132.0,24.0
2-D2-L3-HC,985.0,399.0,2372.0,58.0,1019.0,114.0,355.0,89.0,26.0
2-D3-L1-HC,99.0,23.0,247.0,5.0,114.0,13.0,37.0,18.0,
2-D3-L2-HC,93.0,36.0,236.0,3.0,121.0,16.0,52.0,12.0,
2-D3-L3-HC,97.0,35.0,258.0,4.0,109.0,14.0,34.0,8.0,3.0
2-D4-L1-HC,13.0,1.0,39.0,,10.0,1.0,6.0,1.0,
2-D4-L2-HC,9.0,6.0,25.0,,15.0,1.0,6.0,1.0,
2-D4-L3-HC,10.0,3.0,20.0,2.0,7.0,1.0,6.0,,1.0
2-D5-L1-HC,,,,3.0,6.0,,,,
2-D5-L2-HC,,,6.0,2.0,2.0,,,,
2-D5-L3-HC,,,3.0,,,,,,
2-MME-L1-HC,38562.0,12206.0,87607.0,1982.0,41271.0,4221.0,15379.0,4708.0,1161.0
2-MME-L2-HC,39266.0,12586.0,91929.0,1972.0,41810.0,4107.0,15643.0,4694.0,1083.0
2-MME-L3-HC,40159.0,12647.0,94069.0,2061.0,43936.0,4321.0,16256.0,5195.0,1133.0
2-PBMC-L1-HC,,,,,,,,,
2-PBMC-L2-HC,,,,,,,,,
2-PBMC-L3-HC,,,,,,,,,
3-D1-L1-HC,19641.0,6939.0,87955.0,807.0,17941.0,2013.0,13694.0,11526.0,761.0
3-D2-L1-HC,5837.0,2057.0,28855.0,236.0,5449.0,517.0,3786.0,3500.0,221.0
3-D3-L1-HC,604.0,221.0,2984.0,25.0,580.0,84.0,408.0,409.0,25.0
3-D4-L1-HC,56.0,7.0,260.0,1.0,53.0,6.0,46.0,27.0,1.0
3-D5-L1-HC,3.0,1.0,19.0,,5.0,,4.0,3.0,
3-MMC-L1-HC,71610.0,27001.0,309977.0,3359.0,69457.0,6803.0,45378.0,44591.0,2682.0
3-PBMC-L1-HC,,,,,,,,,
