,DAUDI,EHEB,JK-6,LB5871-LYMP,MEC-1,OCI-LY1,RI-1,WSU-DLCL,WSU-NHL
2-D1-L1-HC,8389.0,2643.0,19487.0,416.0,8171.0,964.0,3125.0,983.0,232.0
2-D1-L2-HC,8991.0,2933.0,21066.0,437.0,9101.0,1002.0,3504.0,1072.0,247.0
2-D1-L3-HC,8957.0,2926.0,21250.0,403.0,9186.0,1012.0,3359.0,1008.0,232.0
2-D2-L1-HC,958.0,386.0,2660.0,38.0,1007.0,98.0,365.0,121.0,22.0
2-D2-L2-HC,1079.0,463.0,3313.0,42.0,1226.0,110.0,450.0,142.0,26.0
2-D2-L3-HC,1017.0,429.0,2578.0,67.0,1060.0,116.0,364.0,94.0,30.0
2-D3-L1-HC,99.0,24.0,260.0,6.0,117.0,17.0,35.0,19.0,
2-D3-L2-HC,99.0,45.0,258.0,2.0,131.0,16.0,55.0,13.0,
2-D3-L3-HC,101.0,43.0,312.0,6.0,114.0,16.0,32.0,6.0,5.0
2-D4-L1-HC,12.0,1.0,38.0,,9.0,1.0,6.0,1.0,
2-D4-L2-HC,12.0,7.0,25.0,,15.0,1.0,7.0,1.0,
2-D4-L3-HC,11.0,3.0,22.0,3.0,7.0,1.0,9.0,,1.0
2-D5-L1-HC,,,,2.0,6.0,,,,
2-D5-L2-HC,,,6.0,2.0,2.0,,,,
2-D5-L3-HC,,,5.0,,,,,,
2-MME-L1-HC,42452.0,13311.0,94853.0,2174.0,44281.0,4688.0,16895.0,5007.0,1257.0
2-MME-L2-HC,43241.0,13810.0,99704.0,2219.0,45072.0,4668.0,17370.0,5090.0,1185.0
2-MME-L3-HC,44353.0,13969.0,102603.0,2340.0,47629.0,4856.0,18042.0,5655.0,1222.0
2-PBMC-L1-HC,,,,,,,,,
2-PBMC-L2-HC,,,,,,,,,
2-PBMC-L3-HC,,,,,,,,,
3-D1-L1-HC,21688.0,7781.0,96656.0,912.0,19595.0,2266.0,15341.0,12688.0,837.0
3-D2-L1-HC,6541.0,2211.0,31450.0,255.0,5987.0,595.0,4342.0,3862.0,249.0
3-D3-L1-HC,666.0,241.0,3423.0,30.0,615.0,95.0,434.0,435.0,29.0
3-D4-L1-HC,58.0,8.0,315.0,1.0,56.0,6.0,46.0,27.0,1.0
3-D5-L1-HC,3.0,1.0,22.0,,5.0,,4.0,3.0,
3-MMC-L1-HC,70114.0,26762.0,303035.0,3521.0,68346.0,7158.0,44377.0,44321.0,2672.0
3-PBMC-L1-HC,,,,,,,,,
