,DAUDI,EHEB,JK-6,LB5871-LYMP,MEC-1,OCI-LY1,RI-1,WSU-DLCL,WSU-NHL
2-D1-L1-LC,4603.0,4916.0,51302.0,1240.0,27739.0,2604.0,10393.0,2772.0,540.0
2-D1-L2-LC,4622.0,4723.0,50033.0,1193.0,26881.0,2440.0,10262.0,2838.0,619.0
2-D1-L3-LC,5280.0,5327.0,57040.0,1267.0,31589.0,2863.0,11744.0,3265.0,727.0
2-D2-L1-LC,586.0,645.0,6253.0,117.0,3541.0,314.0,1233.0,322.0,74.0
2-D2-L2-LC,563.0,572.0,6244.0,154.0,3361.0,297.0,1218.0,270.0,102.0
2-D2-L3-LC,602.0,624.0,6391.0,142.0,3539.0,324.0,1315.0,374.0,75.0
2-D3-L1-LC,49.0,61.0,639.0,22.0,303.0,37.0,108.0,72.0,9.0
2-D3-L2-LC,48.0,74.0,542.0,7.0,366.0,29.0,104.0,53.0,8.0
2-D3-L3-LC,49.0,47.0,691.0,9.0,321.0,30.0,116.0,65.0,8.0
2-D4-L1-LC,1.0,1.0,53.0,,17.0,2.0,10.0,63.0,1.0
2-D4-L2-LC,5.0,2.0,52.0,1.0,40.0,2.0,7.0,76.0,1.0
2-D4-L3-LC,4.0,6.0,74.0,,57.0,3.0,9.0,74.0,
2-D5-L1-LC,,2.0,31.0,1.0,4.0,3.0,4.0,65.0,
2-D5-L2-LC,,,27.0,1.0,3.0,,1.0,67.0,1.0
2-D5-L3-LC,,,48.0,,2.0,,2.0,72.0,
2-MME-L1-LC,20562.0,22299.0,202630.0,5549.0,116195.0,10209.0,43098.0,12835.0,2689.0
2-MME-L2-LC,19659.0,21675.0,198060.0,5471.0,114140.0,10028.0,41565.0,12582.0,2938.0
2-MME-L3-LC,20293.0,22526.0,205558.0,5691.0,119147.0,10157.0,43538.0,12935.0,2801.0
2-PBMC-L1-LC,,,31.0,,3.0,,,66.0,
2-PBMC-L2-LC,,,40.0,,2.0,,1.0,48.0,
2-PBMC-L3-LC,,1.0,35.0,,1.0,,5.0,43.0,3.0
3-D1-L1-LC,19410.0,15196.0,193946.0,3240.0,56707.0,7485.0,55891.0,29547.0,6196.0
3-D2-L1-LC,6992.0,5394.0,75482.0,1040.0,20922.0,2852.0,20529.0,10860.0,2078.0
3-D3-L1-LC,518.0,415.0,6584.0,97.0,1753.0,270.0,1771.0,1038.0,185.0
3-D4-L1-LC,62.0,29.0,474.0,10.0,128.0,19.0,116.0,71.0,10.0
3-D5-L1-LC,5.0,6.0,81.0,3.0,11.0,,13.0,86.0,
3-MMC-L1-LC,77537.0,58919.0,645310.0,12945.0,200236.0,29200.0,196464.0,114940.0,21885.0
3-PBMC-L1-LC,,,50.0,,8.0,1.0,1.0,91.0,2.0
